time, Quad.IMU.AX
0.574996,0.001970
0.579996,-0.032725
0.584996,-0.024030
0.589996,0.394530
0.594996,0.458501
0.599996,-0.953855
0.604996,0.070238
0.609996,-0.294791
0.614996,0.105512
0.619996,0.355717
0.624996,-0.266482
0.629995,0.497488
0.634995,0.083962
0.639995,-1.072904
0.644995,-0.111449
0.649995,0.298659
0.654995,0.614789
0.659995,-0.087774
0.664995,0.571373
0.669995,0.047537
0.674995,0.182865
0.679995,-0.612052
0.684995,0.047721
0.689995,0.016215
0.694995,0.579145
0.699995,0.577729
0.704994,-0.224153
0.709994,0.630870
0.714994,-0.249421
0.719994,-0.016290
0.724994,0.756346
0.729994,0.042254
0.734994,0.625210
0.739994,-0.675399
0.744994,0.628802
0.749994,-0.039551
0.754994,-0.206526
0.759994,0.238622
0.764994,0.393350
0.769994,-0.496021
0.774994,0.693234
0.779994,-0.141948
0.784993,-0.187987
0.789993,0.469682
0.794993,-1.019920
0.799993,-0.213809
0.804993,0.042876
0.809993,-0.497645
0.814993,-0.346558
0.819993,-0.295161
0.824993,0.331211
0.829993,-0.057658
0.834993,0.190980
0.839993,-0.057799
0.844993,0.526556
0.849993,-0.183802
0.854993,-0.198549
0.859993,-0.432025
0.864992,-0.244309
0.869992,-0.540995
0.874992,0.051975
0.879992,-0.145131
0.884992,-0.433212
0.889992,-0.704350
0.894992,-0.721711
0.899992,0.459133
0.904992,-0.020592
0.909992,0.195803
0.914992,-0.316900
0.919992,-0.353211
0.924992,-0.232945
0.929992,0.503968
0.934992,-0.407842
0.939991,0.343700
0.944991,-0.191253
0.949991,1.302615
0.954991,-0.607061
0.959991,0.537445
0.964991,1.248447
0.969991,-0.667746
0.974991,1.032973
0.979991,-0.611268
0.984991,0.255366
0.989991,0.715400
0.994991,-0.521794
0.999991,0.334519
1.004991,0.241133
1.009991,0.095444
1.014991,1.025419
1.019992,0.694894
1.024992,-0.005885
1.029992,-0.599078
1.034992,0.087416
1.039993,0.065737
1.044993,0.016867
1.049993,0.777196
1.054993,-0.015757
1.059994,-0.102627
1.064994,-0.011474
1.069994,-0.244955
1.074994,-0.132022
1.079994,0.595339
1.084995,0.149896
1.089995,-0.100048
1.094995,-0.079057
1.099995,0.478815
1.104996,-0.126931
1.109996,0.516754
1.114996,-0.265461
1.119996,-0.133599
1.124997,-0.371040
1.129997,-0.829448
1.134997,0.317761
1.139997,0.108826
1.144997,-0.385656
1.149998,0.959894
1.154998,0.311928
1.159998,-0.085506
1.164998,-0.463065
1.169999,-0.221865
1.174999,0.359344
1.179999,0.160673
1.184999,-0.562745
1.190000,-0.532486
1.195000,-0.133474
1.200000,-0.262763
1.205000,-0.020491
1.210001,0.004128
1.215001,-0.287759
1.220001,-0.912080
1.225001,0.630147
1.230001,-0.061039
1.235002,-0.536783
1.240002,-0.604364
1.245002,-0.302296
1.250002,-1.078478
1.255003,0.214616
1.260003,0.884456
1.265003,-0.376672
1.270003,-0.065508
1.275004,0.511574
1.280004,0.453449
1.285004,0.309020
1.290004,-0.877444
1.295004,0.136600
1.300005,0.268723
1.305005,0.097080
1.310005,-0.491214
1.315005,0.090727
1.320006,-0.126943
1.325006,0.405510
1.330006,0.051753
1.335006,-0.226922
1.340007,0.268018
1.345007,-0.399547
1.350007,0.145262
1.355007,-0.714877
1.360008,-0.218507
1.365008,-0.151083
1.370008,-0.279908
1.375008,1.219575
1.380008,-0.565538
1.385009,0.225860
1.390009,-0.124213
1.395009,0.192882
1.400009,0.000945
1.405010,1.183948
1.410010,-0.133905
1.415010,-0.344797
1.420010,0.481705
1.425011,-0.337159
1.430011,0.929824
1.435011,-0.013264
1.440011,-0.096843
1.445011,0.541182
1.450012,0.048047
1.455012,-0.602067
1.460012,-0.160791
1.465012,0.274715
1.470013,0.263856
1.475013,0.739805
1.480013,-0.795288
1.485013,-0.392935
1.490014,0.494087
1.495014,0.624857
1.500014,0.204246
1.505014,0.115926
1.510015,0.510987
1.515015,-0.007434
1.520015,0.218523
1.525015,0.552334
1.530015,0.237086
1.535016,-0.821124
1.540016,0.036528
1.545016,-0.166134
1.550016,0.387324
1.555017,0.214296
1.560017,0.551412
1.565017,0.673403
1.570017,0.407249
1.575018,-0.875996
1.580018,-0.169868
1.585018,-0.619581
1.590018,-0.023849
1.595019,-0.133011
1.600019,-0.740920
1.605019,0.045838
1.610019,0.046730
1.615019,0.140718
1.620020,-1.058483
1.625020,-0.114812
1.630020,-0.431054
1.635020,0.648237
1.640021,0.455912
1.645021,-0.245245
1.650021,-0.568144
1.655021,-0.213383
1.660022,0.181596
1.665022,0.419310
1.670022,0.700989
1.675022,0.637171
1.680022,0.687374
1.685023,0.468594
1.690023,0.626754
1.695023,-0.033373
1.700023,0.025284
1.705024,-0.706637
1.710024,0.174665
1.715024,-0.156369
1.720024,-0.880817
1.725025,-0.189057
1.730025,-0.795293
1.735025,-0.003318
1.740025,-0.099555
1.745026,0.275371
1.750026,0.042192
1.755026,-0.434608
1.760026,0.125448
1.765026,-0.105237
1.770027,0.199440
1.775027,-0.728841
1.780027,-0.014865
1.785027,0.146277
1.790028,0.247832
1.795028,-0.221057
1.800028,0.450254
1.805028,-0.559383
1.810029,0.041007
1.815029,0.349958
1.820029,0.553861
1.825029,-0.359669
1.830029,0.119211
1.835030,-0.350465
1.840030,-0.527310
1.845030,0.522850
1.850030,0.331902
1.855031,-0.159950
1.860031,-0.742066
1.865031,-0.240422
1.870031,0.574198
1.875032,0.400646
1.880032,0.116076
1.885032,-0.183077
1.890032,-0.794645
